"","UNIT_CODE","UNIT_NAME","NetworkCode","NetworkName","Linked_UNIT_CODE","Linked_UNIT_NAME"
"57","CHCU","Chaco Culture National Historical Park","SCPN","Southern Colorado Plateau Network",NA,NA
"58","CHIC","Chickasaw National Recreation Area","SOPN","Southern Plains Network",NA,NA
"59","CHIR","Chiricahua National Monument","SODN","Sonoran Desert Network",NA,NA
"60","CHIS","Channel Islands National Park","MEDN","Mediterranean Coast Network",NA,NA
"61","CHOH","Chesapeake and Ohio Canal National Historical Park","NCRN","National Capital Region Network",NA,NA
"62","CHPI","Charles Pinckney National Historic Site","SECN","Southeast Coast Network",NA,NA
"63","CIRO","City of Rocks National Reserve","UCBN","Upper Columbia Basin Network",NA,NA
"64","CLBA","Clara Barton National Historic Site","NCRN","National Capital Region Network",NA,NA
"65","COGA","Constitution Gardens","NCRN","National Capital Region Network",NA,NA
"66","COLM","Colorado National Monument","NCPN","Northern Colorado Plateau Network",NA,NA
"67","COLO","Colonial National Historical Park","NCBN","Northeast Coastal and Barrier Network",NA,NA
"68","CONG","Congaree National Park","SECN","Southeast Coast Network",NA,NA
"69","CORO","Coronado National Memorial","SODN","Sonoran Desert Network",NA,NA
"70","COWP","Cowpens National Battlefield","CUPN","Cumberland Piedmont Network",NA,NA
"71","CRLA","Crater Lake National Park","KLMN","Klamath Network",NA,NA
"72","CRMO","Craters of the Moon National Monument and Preserve","UCBN","Upper Columbia Basin Network",NA,NA
"73","CUGA","Cumberland Gap National Historical Park","CUPN","Cumberland Piedmont Network",NA,NA
"74","CUIS","Cumberland Island National Seashore","SECN","Southeast Coast Network",NA,NA
"75","CURE","Curecanti National Recreation Area","NCPN","Northern Colorado Plateau Network",NA,NA
"76","CUVA","Cuyahoga Valley National Park","HTLN","Heartland Network",NA,NA
